rule,human_mean,machine_mean,difference,abs_difference,human_docs,machine_docs,pct_human_docs,pct_machine_docs,u_statistic,u_p_value,cohens_d,effect_size,characteristic_of,q_value,significant_fdr_005
ADJ(*),0.10188305030855904,0.23737039173820257,-0.13548734142964353,0.13548734142964353,20,20,100.0,100.0,9.0,2.562945863395653e-07,-2.9704832897317446,large,machine,3.946936629629305e-05,True
ADP(*),0.39282174182188323,0.44528095360548925,-0.05245921178360602,0.05245921178360602,20,20,100.0,100.0,109.0,0.01436384760113641,-0.8797512801036075,large,machine,0.062225406320313294,False
PROPN(*),0.1415636844732596,0.19245021072246135,-0.05088652624920176,0.05088652624920176,17,20,85.0,100.0,134.0,0.07637574457822141,-0.4359344831281934,small,machine,0.19281745352534588,False
NOUN(*),0.5420228956550714,0.5838222482969655,-0.04179935264189405,0.04179935264189405,20,20,100.0,100.0,154.0,0.21840551261012597,-0.6181170275759615,medium,machine,0.3616607413113914,False
VERB(*),0.1652541277524747,0.2023605659818946,-0.03710643822941992,0.03710643822941992,20,20,100.0,100.0,99.0,0.006557192645280169,-0.9696116404419768,large,machine,0.038839191121094005,True
"NOUN(ADP/case, *, ADJ/amod)",0.011495887477934121,0.03262422227174373,-0.021128334793809614,0.021128334793809614,9,19,45.0,95.0,68.5,0.0003280545724394313,-1.4021577763217257,large,machine,0.006315050519459052,True
"VERB(ADP/mark, *, NOUN/obj)",0.00710447346818401,0.026644903542732003,-0.019540430074547994,0.019540430074547994,6,15,30.0,75.0,90.0,0.0017225453981594863,-1.1787965231960618,large,machine,0.01894799937975435,True
"VERB(PUNCT/punct, *, NOUN/obj)",0.002200222740243891,0.01938684413742147,-0.017186621397177578,0.017186621397177578,1,16,5.0,80.0,55.0,1.4074865110952665e-05,-1.1563852343583036,large,machine,0.0010837646135433553,True
"NOUN(*, ADJ/amod)",0.0086164202784779,0.024640765530263734,-0.016024345251785834,0.016024345251785834,6,18,30.0,90.0,80.0,0.0008353862805324958,-1.097485146537942,large,machine,0.01169540792745494,True
"NOUN(DET/det, *, ADJ/amod)",0.007013905548540179,0.022655647943126484,-0.015641742394586305,0.015641742394586305,6,18,30.0,90.0,73.0,0.0004054803288085856,-1.318009541482797,large,machine,0.006938218959613576,True
DET(*),0.367764916546679,0.38333884687116265,-0.015573930324483676,0.015573930324483676,20,20,100.0,100.0,186.0,0.7149798814655983,-0.23377866138251302,small,machine,0.8259537171743883,False
"NOUN(ADP/case, DET/det, *, ADJ/amod)",0.015203458403636516,0.02998324597538432,-0.014779787571747804,0.014779787571747804,10,20,50.0,100.0,79.0,0.0010196114738936788,-0.869836656025809,large,machine,0.012078474383048194,True
"PROPN(ADP/case, DET/det, *)",0.0258522443472499,0.03911737479777995,-0.01326513045053005,0.01326513045053005,11,19,55.0,95.0,131.5,0.06376648657271539,-0.4859147664657958,small,machine,0.16644133783386728,False
"VERB(*, NOUN/obl)",0.006024948030356615,0.01878655552358351,-0.012761607493226895,0.012761607493226895,3,16,15.0,80.0,69.0,0.00013538155770411158,-0.7171799220632016,medium,machine,0.0034747933144055306,True
"VERB(NOUN/nsubj, *, VERB/ccomp, PUNCT/punct)",0.0034446012017667464,0.014386752144197063,-0.010942150942430317,0.010942150942430317,4,18,20.0,90.0,62.0,9.583258622927378e-05,-1.3534680206719982,large,machine,0.0029516436558616327,True
"VERB(PRON/nsubj, *, VERB/xcomp)",0.0,0.010332963520881842,-0.010332963520881842,0.010332963520881842,0,11,0.0,55.0,90.0,0.0001669860144431449,-1.3807926460536055,large,machine,0.003673692317749188,True
"VERB(CCONJ/cc, *, NOUN/obj)",0.0022076149691265087,0.012421383710536887,-0.010213768741410379,0.010213768741410379,3,14,15.0,70.0,86.0,0.0006471553384274884,-1.226602505548348,large,machine,0.00996619221178332,True
"NOUN(ADP/case, *, VERB/acl)",0.00044183175734769287,0.010350460789125552,-0.009908629031777859,0.009908629031777859,1,14,5.0,70.0,63.0,2.1731293156227167e-05,-1.5855581490551627,large,machine,0.0011155397153529947,True
"PROPN(PUNCT/punct, *, PUNCT/punct)",0.004367428802932101,0.0129251850698768,-0.008557756266944699,0.008557756266944699,3,13,15.0,65.0,110.5,0.0065572660334314555,-0.7553603204099546,medium,machine,0.038839191121094005,True
"PROPN(DET/det, *)",0.005150643977142838,0.013505732335686183,-0.008355088358543344,0.008355088358543344,5,14,25.0,70.0,109.0,0.008129058858670242,-0.7483802125389272,medium,machine,0.04636574311982286,True
"NOUN(CCONJ/cc, *, ADJ/amod)",0.004207115121138886,0.012356401364644845,-0.008149286243505959,0.008149286243505959,3,14,15.0,70.0,104.0,0.004103649259082259,-0.7839568568596899,medium,machine,0.031598099294933395,True
"ADV(*, PRON/obl, PUNCT/punct)",0.0,0.007875440001190972,-0.007875440001190972,0.007875440001190972,0,12,0.0,60.0,80.0,6.682632606181775e-05,-1.6299235880527023,large,machine,0.0025728135533799835,True
"VERB(*, NOUN/obl:agent)",0.0017520566484722298,0.009536533274699149,-0.007784476626226919,0.007784476626226919,2,10,10.0,50.0,118.0,0.006540449068382944,-0.9192231375123061,large,machine,0.038839191121094005,True
"NOUN(DET/det, *, ADJ/amod, NOUN/nmod)",0.0045922405112969675,0.012054918580556408,-0.0074626780692594406,0.0074626780692594406,4,13,20.0,65.0,119.0,0.015551090717923937,-0.6539767250329596,medium,machine,0.062225406320313294,False
"VERB(PRON/nsubj, *, NOUN/obj)",0.002007335428149979,0.009458046208563166,-0.007450710780413187,0.007450710780413187,2,11,10.0,55.0,115.0,0.006025978446561877,-0.957505330613688,large,machine,0.038839191121094005,True
"NOUN(*, NOUN/conj)",0.0011846050274206931,0.008506863971464215,-0.007322258944043521,0.007322258944043521,1,10,5.0,50.0,114.0,0.0032897221678694537,-0.9647959795415194,large,machine,0.02814540076954977,True
"NOUN(DET/det, ADJ/amod, *, NOUN/nmod)",0.0,0.0070450823552998575,-0.0070450823552998575,0.0070450823552998575,0,6,0.0,30.0,140.0,0.009584367926958772,-0.8267195092192005,large,machine,0.050896298646608655,False
"NOUN(ADP/case, *, ADJ/amod, VERB/acl)",0.0,0.006915437726007995,-0.006915437726007995,0.006915437726007995,0,5,0.0,25.0,150.0,0.019798992920099685,-0.7639205021663829,medium,machine,0.062225406320313294,False
"ADV(*, NOUN/obl)",0.0,0.006888565441665958,-0.006888565441665958,0.006888565441665958,0,8,0.0,40.0,120.0,0.0020850808867877617,-0.97200467440956,large,machine,0.02140683043768769,True
"NOUN(*, ADJ/amod, NOUN/nmod)",0.004032120849931717,0.010585055730895679,-0.006552934880963961,0.006552934880963961,3,11,15.0,55.0,120.5,0.012118525784453488,-0.5486182491025359,medium,machine,0.06220843236019458,False
"NOUN(*, PROPN/nmod)",0.0017998311597318233,0.008312035330173426,-0.006512204170441602,0.006512204170441602,2,11,10.0,55.0,109.0,0.0032676126716881526,-0.8754698025015464,large,machine,0.02814540076954977,True
"NOUN(ADP/case, DET/det, *, ADJ/amod, ADJ/amod)",0.0,0.006114107617884586,-0.006114107617884586,0.006114107617884586,0,7,0.0,35.0,130.0,0.0045320590791432455,-0.9680929934355805,large,machine,0.03172441355400272,True
"ADJ(*, NOUN/obl)",0.002192867980015751,0.008295795177610445,-0.006102927197594694,0.006102927197594694,2,12,10.0,60.0,109.0,0.004054876949754817,-0.8502813436473544,large,machine,0.031598099294933395,True
"NOUN(*, ADJ/amod, PROPN/nmod)",0.0,0.0058073189144705805,-0.0058073189144705805,0.0058073189144705805,0,5,0.0,25.0,150.0,0.019798992920099685,-0.7306915303904119,medium,machine,0.062225406320313294,False
"NOUN(CCONJ/cc, DET/det, *, NOUN/nmod)",0.0012363063248573768,0.0070150075478073014,-0.005778701222949925,0.005778701222949925,1,7,5.0,35.0,142.5,0.027331395773759273,-0.710293317658035,medium,machine,0.08253009704233193,False
"PROPN(PUNCT/punct, *, PROPN/flat:name, PUNCT/punct)",0.0,0.005741158821561736,-0.005741158821561736,0.005741158821561736,0,7,0.0,35.0,130.0,0.0045320590791432455,-1.0190999388146238,large,machine,0.03172441355400272,True
"PROPN(ADP/case, DET/det, *, PROPN/flat:name, PROPN/flat:name, PROPN/appos)",0.0,0.005727871183435613,-0.005727871183435613,0.005727871183435613,0,6,0.0,30.0,140.0,0.009584367926958772,-0.8324004187255518,large,machine,0.050896298646608655,False
"PROPN(ADP/case, DET/det, *, PROPN/flat:name, PROPN/flat:name)",0.0019243939335453237,0.007623270695445376,-0.005698876761900053,0.005698876761900053,2,8,10.0,40.0,139.0,0.03139974735919863,-0.621716789104144,medium,machine,0.09299155948685747,False
"NOUN(DET/det, *, ADJ/amod, NOUN/nmod, NOUN/nmod)",0.0,0.005669134201534118,-0.005669134201534118,0.005669134201534118,0,5,0.0,25.0,150.0,0.019798992920099685,-0.7801694964188596,medium,machine,0.062225406320313294,False
"VERB(ADV/advmod, NOUN/nsubj, *, VERB/ccomp, PUNCT/punct)",0.0,0.0053007845827442324,-0.0053007845827442324,0.0053007845827442324,0,5,0.0,25.0,150.0,0.019798992920099685,-0.7669893341457461,medium,machine,0.062225406320313294,False
"PROPN(*, PROPN/flat:name, PROPN/flat:name)",0.0014171769113717936,0.006573468089493988,-0.005156291178122194,0.005156291178122194,1,8,5.0,40.0,134.0,0.015393456380801512,-0.694736394909878,medium,machine,0.062225406320313294,False
"NOUN(DET/det, *, ADJ/amod, ADJ/amod)",0.0,0.0051417865314663525,-0.0051417865314663525,0.0051417865314663525,0,5,0.0,25.0,150.0,0.019798992920099685,-0.7874107914154239,medium,machine,0.062225406320313294,False
"NOUN(ADP/case, *, ADJ/amod, VERB/acl:relcl)",0.0,0.005136006244675535,-0.005136006244675535,0.005136006244675535,0,5,0.0,25.0,150.0,0.019798992920099685,-0.7905552652717763,medium,machine,0.062225406320313294,False
"VERB(PUNCT/punct, *, NOUN/obj, NOUN/obl)",0.0,0.00512998170215241,-0.00512998170215241,0.00512998170215241,0,5,0.0,25.0,150.0,0.019798992920099685,-0.7736088265255748,medium,machine,0.062225406320313294,False
"NOUN(*, NOUN/nmod)",0.01440606108752071,0.01928727924152402,-0.00488121815400331,0.00488121815400331,14,19,70.0,95.0,155.0,0.22746941019217204,-0.44080122544862604,small,machine,0.36308175827389866,False
"ADV(*, NOUN/obl, PUNCT/punct)",0.0012090322775997436,0.006087889829369174,-0.004878857551769431,0.004878857551769431,1,5,5.0,25.0,160.5,0.08951565585589712,-0.5479397523792702,medium,machine,0.21655414753474878,False
"NOUN(ADP/case, DET/det, ADJ/amod, *, NOUN/nmod)",0.0006300110365740902,0.005316007595639067,-0.004685996559064977,0.004685996559064977,1,5,5.0,25.0,158.5,0.07425597169600405,-0.6466913854471816,medium,machine,0.19059032735307707,False
"NOUN(ADP/case, *, ADJ/amod, ADJ/amod)",0.0,0.004586911912518726,-0.004586911912518726,0.004586911912518726,0,5,0.0,25.0,150.0,0.019798992920099685,-0.8003798416013013,large,machine,0.062225406320313294,False
"ADJ(*, ADJ/conj)",0.003806660442104961,0.008372015958636346,-0.004565355516531385,0.004565355516531385,4,10,20.0,50.0,144.0,0.07799787352941448,-0.5287247187437536,medium,machine,0.19373665360531983,False
"PROPN(ADP/case, *)",0.015805695860787748,0.020347865727778903,-0.004542169866991155,0.004542169866991155,8,16,40.0,80.0,152.0,0.1842007703304498,-0.24679282467233238,small,machine,0.34422848652951327,False
