rank,frequency,word
1,168,de
2,130,a
3,106,o
4,95,e
5,85,que
6,63,do
7,63,da
8,51,para
9,48,em
10,39,com
11,37,no
12,36,um
13,28,na
14,27,uma
15,24,não
16,23,ele
17,22,se
18,21,é
19,18,os
20,16,as
21,15,dos
22,14,está
23,14,mais
24,14,ao
25,14,por
26,13,como
27,13,ministro
28,11,mil
29,11,foi
30,10,seu
31,10,brasil
32,10,vai
33,9,lula
34,9,país
35,9,todos
36,8,tem
37,8,à
38,8,sua
39,8,globo
40,8,muito
41,8,anos
42,8,habitantes
43,8,foram
44,8,ou
45,7,decisão
46,7,caso
47,7,aécio
48,7,entrevistados
49,7,já
50,7,pode
51,7,mas
52,7,pelo
53,7,apenas
54,7,partir
55,7,seus
56,6,ex-presidente
57,6,até
58,6,das
59,6,delação
60,6,só
61,6,dele
62,6,fim
63,6,nos
64,6,hoje
65,6,você
66,6,ser
67,6,será
68,6,pessoas
69,6,são
70,6,stf
71,6,entre
72,6,valor
73,6,adidas
74,5,diz
75,5,mundo
76,5,quem
77,5,rede
78,5,era
79,5,sociais
80,5,este
81,5,estado
82,5,nem
83,5,isso
84,5,pec
85,5,proposta
86,5,deputados
87,5,favor
88,5,eles
89,5,pela
90,5,governo
91,5,essa
92,5,todas
93,5,durante
94,5,aos
95,5,nao
96,5,minimo
97,5,benefício
98,4,moro
99,4,todo
100,4,amigos
101,4,senador
102,4,relação
103,4,pouco
104,4,tempo
105,4,amigo
106,4,deputado
107,4,vida
108,4,morte
109,4,presidente
110,4,poderia
111,4,ter
112,4,prisão
113,4,deu
114,4,cada
115,4,sendo
116,4,redução
117,4,senadores
118,4,petróleo
119,4,petrobras
120,4,esse
121,4,mendes
122,4,corte
123,4,mostra
124,4,também
125,4,kim
126,4,alvos
127,4,ataque
128,4,nuclear
129,4,nunca
130,4,alexandre
131,4,moraes
132,4,cantora
133,4,chamadas
134,4,forma
135,4,voce
136,4,salario
137,4,viagens
138,4,taxa
139,4,indígenas
140,4,vc
141,4,pagar
142,4,vencimento
143,3,pt
144,3,partido
145,3,sem
146,3,agora
147,3,pena
148,3,vale
149,3,afastado
150,3,neves
151,3,nas
152,3,operação
153,3,república
154,3,federal
155,3,emocional
156,3,há
157,3,momento
158,3,doeu
159,3,tomar
160,3,estava
161,3,começou
162,3,entrar
163,3,me
164,3,dizer
165,3,fazer
166,3,ela
167,3,mesmo
168,3,pra
169,3,muita
170,3,gente
171,3,pública
172,3,esta
173,3,viana
174,3,reduzir
175,3,população
176,3,site
177,3,deve
178,3,milhões
179,3,campo
180,3,prejuízo
181,3,propina
182,3,porém
183,3,negócio
184,3,acordo
185,3,gilmar
186,3,suprema
187,3,nomeação
188,3,supremo
189,3,tenha
190,3,pesquisa
191,3,armas
192,3,horas
193,3,jong-un
194,3,eua
195,3,norte
196,3,essas
197,3,tv
198,3,primeiro
199,3,bem
200,3,barriga
201,3,outros
202,3,seja
203,3,jamais
204,3,novela
205,3,trabalho
206,3,aqui
207,3,cavalo
208,3,paula
209,3,temer
210,3,pronunciamento
211,3,mensagens
212,3,whatsapp
213,3,amanha
214,3,governos
215,3,facebook
216,3,sao
217,3,existe
218,3,bolsonaro
219,3,nossa
220,3,q
221,3,paolla
222,3,oliveira
223,3,pinheiro
224,3,venezuelanos
225,3,licenciamento
226,3,"33,66"
227,3,amanhã
228,2,dinheiro
229,2,trabalhadores
230,2,juiz
231,2,alega
232,2,aspas
233,2,própria
234,2,sentença
235,2,casa
236,2,defender
237,2,acusações
238,2,força
239,2,sociedade
240,2,cometer
241,2,líder
242,2,popular
243,2,suicídio
244,2,folha
245,2,conversou
246,2,temor
247,2,depressão
248,2,conta
249,2,friboi
250,2,ganhar
